iteration,MSE_train,MSE_validation,MSE_test,acc_train,acc_validation,acc_test,seconds_elapsed
0,0.204585001007,0.209504339415,0.225522574497,0.51867219917,0.511049723757,0.477419354839,11.590484285
10,0.123385926441,0.136117313921,0.137380096341,0.692946058091,0.671270718232,0.656774193548,120.450589526
20,0.0916667324579,0.102435774682,0.096305036035,0.758644536653,0.723756906077,0.750967741935,228.922304822
30,0.103450501272,0.117125018369,0.107191913825,0.731673582296,0.690607734807,0.718709677419,329.009643075
40,0.0585475244886,0.060726484866,0.0626941102644,0.843015214385,0.845303867403,0.828387096774,431.293859419
50,0.0412814608978,0.0386098765259,0.0445726179864,0.901106500692,0.908839779006,0.895483870968,532.547472661
60,0.0429811420944,0.0490433810979,0.0515616953932,0.902489626556,0.883977900552,0.873548387097,632.577717658
70,0.0452771924207,0.0535761967742,0.0476230089223,0.901106500692,0.878453038674,0.894193548387,733.045463384
80,0.0326546267277,0.0369869921947,0.0350459240436,0.927385892116,0.917127071823,0.923870967742,834.871623831
90,0.0341440749744,0.0343184809607,0.0350533903639,0.927385892116,0.92817679558,0.921290322581,934.685354125
100,0.0371666870952,0.0399192568302,0.0418757805264,0.913554633472,0.906077348066,0.892903225806,1035.73519753
110,0.035451359672,0.03376196589,0.0361444366459,0.928077455048,0.925414364641,0.925161290323,1136.88355757
120,0.0339670645161,0.0347433711371,0.0374942602862,0.928077455048,0.914364640884,0.921290322581,1237.95513224
130,0.036502392743,0.0348319154358,0.0379339364908,0.919087136929,0.922651933702,0.916129032258,1337.27120818
140,0.0320770730626,0.0360015517846,0.0370666767905,0.926002766252,0.919889502762,0.916129032258,1438.68360668
150,0.0361627809727,0.0366287465884,0.0394140807867,0.920470262794,0.914364640884,0.912258064516,1538.52271501
160,0.0374346435117,0.0388289609684,0.0400159974159,0.912171507607,0.908839779006,0.90064516129,1641.8967879
170,0.0352629780948,0.0367265744192,0.0380748777712,0.918395573997,0.903314917127,0.913548387097,1749.22048618
180,0.0341618167139,0.0362621045083,0.0374142679446,0.921853388658,0.917127071823,0.917419354839,1847.38079193
190,0.0332475223004,0.0354712028105,0.0388542810609,0.92531120332,0.919889502762,0.910967741935,1946.58958404
200,0.0336436072737,0.0332232562213,0.0369228635844,0.923236514523,0.930939226519,0.914838709677,2046.75593265
210,0.0336413912207,0.0350134164265,0.0387434945839,0.923236514523,0.925414364641,0.912258064516,2148.18115608
220,0.0329827553928,0.0345766963588,0.0354383127191,0.927385892116,0.925414364641,0.918709677419,2252.27890175
230,0.03468389589,0.0369337298982,0.0378198685063,0.915629322268,0.914364640884,0.909677419355,2355.80296679
240,0.0316339096907,0.0322832427557,0.0339569073089,0.927385892116,0.930939226519,0.923870967742,2459.95547323
250,0.032637837508,0.0331881434341,0.0353701148325,0.924619640387,0.930939226519,0.917419354839,2563.17703463
260,0.032376010543,0.032356466286,0.0347983971365,0.927385892116,0.930939226519,0.922580645161,2665.98052418
270,0.0323160966104,0.0330839306428,0.0354447971457,0.927385892116,0.92817679558,0.922580645161,2769.5216483
280,0.0322104401786,0.0323831252456,0.0342198174036,0.926694329184,0.930939226519,0.929032258065,2870.57311306
290,0.0326045612591,0.032331055909,0.0342539144337,0.92531120332,0.930939226519,0.929032258065,2971.30132525
300,0.0318903079197,0.0325084013102,0.0342847998618,0.926002766252,0.930939226519,0.925161290323,3071.30684224
310,0.0323644272658,0.0322831316739,0.0341600055318,0.92531120332,0.930939226519,0.925161290323,3171.74169891
320,0.0322928189299,0.0323565068035,0.0347571753364,0.92531120332,0.933701657459,0.926451612903,3274.77424961
330,0.032046366385,0.0316803768487,0.0338781993324,0.926694329184,0.930939226519,0.927741935484,3375.27180148
340,0.0323573050301,0.032434980114,0.0347527184227,0.924619640387,0.933701657459,0.925161290323,3480.26237922
350,0.0320968256553,0.0324129435835,0.0342803877503,0.926694329184,0.930939226519,0.925161290323,3582.53751761
360,0.0323250688603,0.0328226585753,0.0350013986582,0.926002766252,0.930939226519,0.927741935484,3686.81100165
370,0.0321870141793,0.032609145224,0.0345212818257,0.926694329184,0.930939226519,0.926451612903,3789.08362212
380,0.0321618150472,0.0323810291105,0.0345805855301,0.92531120332,0.933701657459,0.926451612903,3891.95753627
390,0.0323279129084,0.0325597862751,0.0347782264045,0.926002766252,0.930939226519,0.923870967742,3996.53693851
400,0.0322184519585,0.0328867325773,0.0345296505305,0.926694329184,0.930939226519,0.925161290323,4106.26562579
410,0.0321576373785,0.0326683344459,0.0345106982461,0.926694329184,0.930939226519,0.925161290323,4208.60975502
420,0.0321409759077,0.0328334372392,0.0344792673766,0.926694329184,0.930939226519,0.926451612903,4315.6744892
430,0.0320606797893,0.0329485011167,0.0344775270078,0.926694329184,0.930939226519,0.926451612903,4416.10560284
440,0.0322431463778,0.0326836511267,0.0346325852264,0.926002766252,0.930939226519,0.926451612903,4517.85561947
450,0.032170784846,0.0328726403624,0.0346409906522,0.926694329184,0.930939226519,0.925161290323,4623.39713433
460,0.0321553921217,0.0327554629382,0.0346280075233,0.926694329184,0.930939226519,0.925161290323,4724.42466444
470,0.0321927889513,0.0328418454818,0.0345527626102,0.926002766252,0.930939226519,0.923870967742,4824.90381702
480,0.0322220520238,0.0327667331837,0.0344276331449,0.926002766252,0.930939226519,0.925161290323,4924.15127326
490,0.032195450347,0.0326920805305,0.0344362052201,0.927385892116,0.930939226519,0.926451612903,5025.65836344
500,0.0321872667736,0.0325185025865,0.0344923860386,0.926694329184,0.930939226519,0.926451612903,5125.18392331
510,0.0322076151588,0.0324148595342,0.0343187628886,0.926694329184,0.930939226519,0.925161290323,5226.43576574
520,0.0321694758393,0.0325728722777,0.0342449941671,0.926694329184,0.930939226519,0.926451612903,5328.62226714
530,0.0322379212285,0.0326224639401,0.0344241257333,0.927385892116,0.930939226519,0.925161290323,5431.98245257
540,0.032195397611,0.0325571861794,0.0344193816823,0.927385892116,0.930939226519,0.925161290323,5533.32474782
550,0.0322884396016,0.0330764949072,0.0347264529694,0.926694329184,0.930939226519,0.927741935484,5633.19008966
560,0.0322605594382,0.0328125973597,0.034464243878,0.926694329184,0.930939226519,0.926451612903,5734.549463
570,0.0322391912507,0.0326140370507,0.0343402608665,0.926694329184,0.930939226519,0.927741935484,5836.74968024
580,0.0322889979692,0.0326230722558,0.0344948938918,0.926694329184,0.930939226519,0.926451612903,5938.49722738
590,0.0321585024837,0.0326346868765,0.0345638670153,0.926694329184,0.930939226519,0.923870967742,6034.13571912
600,0.0320588525928,0.0325210338154,0.034344188362,0.927385892116,0.930939226519,0.925161290323,6131.26298453
610,0.0321361638188,0.032459413558,0.0344652211243,0.927385892116,0.930939226519,0.923870967742,6230.30352752
620,0.0321215486368,0.0324292685008,0.0343502925251,0.926002766252,0.930939226519,0.923870967742,6331.44794067
630,0.0320709859393,0.032345361208,0.0344933420586,0.927385892116,0.930939226519,0.922580645161,6431.15330738
640,0.0321471377319,0.0326467070899,0.0344139460166,0.926694329184,0.930939226519,0.926451612903,6532.59705343
650,0.032174090631,0.0325226362477,0.034471936213,0.927385892116,0.930939226519,0.923870967742,6633.89403062
660,0.0321682972094,0.0323364692608,0.03430546028,0.927385892116,0.930939226519,0.922580645161,6736.37893369
670,0.0320787430519,0.0328472595398,0.03455163594,0.926002766252,0.930939226519,0.925161290323,6838.44954703
680,0.032039286636,0.0323572528113,0.0343570399146,0.926694329184,0.930939226519,0.923870967742,6941.10183136
690,0.0320416562988,0.0327760953833,0.0344064954985,0.926002766252,0.930939226519,0.926451612903,7042.54787101
700,0.0319828308072,0.0325899714504,0.0342822240099,0.926694329184,0.930939226519,0.925161290323,7143.544466
710,0.0318811492655,0.0324830904904,0.0338652101324,0.926694329184,0.930939226519,0.925161290323,7247.43632232
720,0.0319909233678,0.0328119087984,0.0341505246549,0.926002766252,0.930939226519,0.926451612903,7347.26709859
730,0.0320987935275,0.0328707565391,0.0344044846381,0.927385892116,0.930939226519,0.923870967742,7454.02436022
740,0.0319786119477,0.0326269778666,0.034040386112,0.927385892116,0.933701657459,0.925161290323,7561.27965196
750,0.031885538602,0.0326794483413,0.0340208921342,0.927385892116,0.930939226519,0.926451612903,7664.64666321
760,0.03191698377,0.032951114689,0.0342683799042,0.927385892116,0.930939226519,0.925161290323,7767.02928742
770,0.0319126311261,0.0327652428218,0.0340194133037,0.927385892116,0.933701657459,0.925161290323,7867.37053074
780,0.0318704927241,0.032738506037,0.0341000751386,0.926694329184,0.933701657459,0.925161290323,7964.82861897
790,0.03198047589,0.0330069222859,0.0343457456918,0.927385892116,0.930939226519,0.922580645161,8064.26371448
800,0.0319462809191,0.0330028645414,0.0344974653117,0.927385892116,0.930939226519,0.923870967742,8163.50662836
810,0.032033633482,0.0328195569206,0.0344107877273,0.927385892116,0.930939226519,0.925161290323,8263.2450639
820,0.0320643598446,0.0329559104555,0.0345666497039,0.927385892116,0.930939226519,0.922580645161,8362.45268887
830,0.0320436946859,0.0329994193197,0.0344612683907,0.927385892116,0.930939226519,0.926451612903,8463.39383138
840,0.0321811090773,0.0332167183796,0.0343768735173,0.926694329184,0.930939226519,0.925161290323,8569.83735531
850,0.0319442510076,0.0329016254583,0.0343183746937,0.926694329184,0.930939226519,0.925161290323,8670.8328723
860,0.031996019093,0.0331768636651,0.034368558299,0.926694329184,0.92817679558,0.925161290323,8773.94563649
870,0.032077784224,0.0330324336046,0.0344816844355,0.926694329184,0.930939226519,0.923870967742,8875.89699059
880,0.0319505458315,0.0331172272039,0.0344990892135,0.926694329184,0.92817679558,0.923870967742,8975.92577414
890,0.0321028149131,0.0332419813359,0.0345249435573,0.926694329184,0.92817679558,0.922580645161,9077.82038543
900,0.032266883511,0.0330639155155,0.0344913816639,0.926694329184,0.92817679558,0.922580645161,9178.5398278
910,0.032162132433,0.0329160576372,0.0345699838385,0.926694329184,0.930939226519,0.925161290323,9280.35290958
920,0.0323604105129,0.0331458479115,0.0345063707694,0.926002766252,0.930939226519,0.925161290323,9379.65346257
930,0.0321184199439,0.0331629440996,0.0345688710603,0.926694329184,0.930939226519,0.922580645161,9477.67495909
940,0.0320983382661,0.0329834428108,0.0344835937905,0.926694329184,0.930939226519,0.923870967742,9576.12583803
950,0.0320902378068,0.0330537742949,0.0344989141845,0.926694329184,0.92817679558,0.921290322581,9673.32052127
960,0.0320743985558,0.0331108236807,0.0345283489382,0.926694329184,0.92817679558,0.922580645161,9777.00376265
970,0.032224828219,0.0332340741688,0.0345993677288,0.926694329184,0.930939226519,0.925161290323,9877.44022126
980,0.0321368608503,0.0329236372042,0.0343773933683,0.926694329184,0.92817679558,0.923870967742,9977.20667943
990,0.0321334778061,0.0328444632969,0.0343475614715,0.926694329184,0.92817679558,0.926451612903,10080.118387
1000,0.0321307163204,0.0328116368066,0.0343754042247,0.926694329184,0.92817679558,0.921290322581,10182.3212925
1010,0.0321621291182,0.0330422543136,0.0344271090599,0.926694329184,0.92817679558,0.925161290323,10285.2226551
1020,0.032168069321,0.0327963024396,0.0344435779291,0.926694329184,0.930939226519,0.923870967742,10388.1726023
1030,0.0319209689303,0.0335109379528,0.034773944016,0.926694329184,0.925414364641,0.923870967742,10486.9999853
1040,0.0321147184755,0.0326809072078,0.0343756031875,0.926694329184,0.92817679558,0.925161290323,10583.9129623
1050,0.0321810467074,0.0329366744104,0.0344432697211,0.926694329184,0.92817679558,0.926451612903,10681.1504857
1060,0.0322096074901,0.0328442597996,0.0345050698963,0.926694329184,0.92817679558,0.922580645161,10779.3650799
1070,0.0322024854894,0.0327894448848,0.0343645804949,0.926694329184,0.92817679558,0.926451612903,10883.9134946
1080,0.0323024272303,0.0334399938605,0.0346917266426,0.926002766252,0.92817679558,0.921290322581,10986.0234165
1090,0.0322999389257,0.0334219235396,0.0346030134947,0.92531120332,0.930939226519,0.923870967742,11086.1267933
1100,0.0321940824161,0.0329066428131,0.0345530190797,0.926694329184,0.930939226519,0.923870967742,11189.0058994
1110,0.0321596188787,0.0328342859541,0.0345135479487,0.926694329184,0.92817679558,0.923870967742,11292.4856464
1120,0.0322071515022,0.0330189731819,0.0344955721274,0.927385892116,0.92817679558,0.922580645161,11395.8376957
1130,0.0320855730112,0.0325534080387,0.0342243313891,0.926002766252,0.930939226519,0.923870967742,11496.8640594
1140,0.0320953544973,0.0326947966372,0.0343484983523,0.926694329184,0.92817679558,0.926451612903,11597.0541867
1150,0.0319957632597,0.0326282329526,0.0343588319496,0.928077455048,0.92817679558,0.923870967742,11704.6103576
1160,0.0322263866832,0.0326539793779,0.0343137393271,0.927385892116,0.930939226519,0.922580645161,11805.4038152
1170,0.0320630427577,0.032504338118,0.0344565339589,0.926694329184,0.930939226519,0.921290322581,11906.9782374
1180,0.0320404899046,0.0323415197248,0.0344618229537,0.926002766252,0.933701657459,0.923870967742,12008.9139972
1190,0.0321370048663,0.0325154154555,0.0342239916565,0.926002766252,0.933701657459,0.926451612903,12111.844215
1200,0.032020866613,0.0323491498105,0.0341673838452,0.926694329184,0.933701657459,0.927741935484,12213.6387518
1210,0.0320772291714,0.032172958411,0.0342181152716,0.926694329184,0.933701657459,0.926451612903,12316.07061
1220,0.0320460218927,0.0324070961047,0.0342770211118,0.926694329184,0.933701657459,0.925161290323,12419.4166118
1230,0.032055526325,0.0322161966691,0.034141839457,0.926694329184,0.930939226519,0.927741935484,12526.1013679
1240,0.0320892820306,0.0325186158119,0.0343406488159,0.926694329184,0.933701657459,0.925161290323,12631.6192229
1250,0.0320216775533,0.0322150061104,0.0341747067654,0.926694329184,0.933701657459,0.926451612903,12737.5185665
1260,0.0320758095157,0.0324006238425,0.0341112036696,0.926694329184,0.933701657459,0.927741935484,12839.5311949
1270,0.0321047697582,0.0324619127692,0.0342411305089,0.927385892116,0.933701657459,0.926451612903,12936.7286141
1280,0.0320692677138,0.0325255683395,0.0344911563732,0.926694329184,0.930939226519,0.922580645161,13034.8746373
1290,0.0321865604819,0.0323569346783,0.034210252014,0.926694329184,0.930939226519,0.926451612903,13133.8306326
1300,0.0321708197373,0.0326014325087,0.0342915102803,0.926694329184,0.930939226519,0.927741935484,13235.9663679
1310,0.0320732409054,0.0323799992556,0.0341669715415,0.926694329184,0.933701657459,0.926451612903,13335.9741354
1320,0.0320832610793,0.0323653933757,0.0342862372487,0.926694329184,0.933701657459,0.923870967742,13435.9242542
1330,0.0321006170955,0.0322390320066,0.0339525009514,0.926694329184,0.933701657459,0.929032258065,13534.8549545
1340,0.0322004805419,0.03227195131,0.0344314165158,0.926002766252,0.933701657459,0.926451612903,13633.0652902
1350,0.0320986804499,0.0321184547477,0.0342520296334,0.927385892116,0.933701657459,0.926451612903,13732.0417747
1360,0.0320381704934,0.0324130342935,0.0341398243591,0.926694329184,0.933701657459,0.929032258065,13829.021682
1370,0.0320949178404,0.0323017150421,0.0341676943856,0.927385892116,0.933701657459,0.926451612903,13928.1834171
1380,0.0323229216417,0.0326204472362,0.034499674122,0.926002766252,0.933701657459,0.923870967742,14025.5297881
1390,0.032188471906,0.0321714586377,0.0345081639771,0.926694329184,0.933701657459,0.925161290323,14125.0343015
1400,0.0320672740441,0.032396268167,0.0343514449867,0.926694329184,0.933701657459,0.925161290323,14223.1111532
1410,0.0320244957443,0.0321672791761,0.0343430244299,0.926002766252,0.933701657459,0.926451612903,14319.3242708
1420,0.0323681246035,0.0326620530048,0.0346168363776,0.926002766252,0.933701657459,0.923870967742,14415.3493947
1430,0.0323063260218,0.0323234448829,0.0346156227215,0.926694329184,0.933701657459,0.925161290323,14513.4742261
1440,0.0320073549624,0.0320360113984,0.0342695831539,0.926694329184,0.933701657459,0.925161290323,14609.8820536
1450,0.0322229000602,0.0323931451649,0.0348204669,0.924619640387,0.933701657459,0.925161290323,14707.2461822
1460,0.0320150882383,0.0319611848362,0.0344293874154,0.926694329184,0.933701657459,0.925161290323,14803.8536067
1470,0.0321452608318,0.0322521708535,0.0346902501801,0.926694329184,0.933701657459,0.923870967742,14906.6957154
1480,0.0320421689591,0.0321844982223,0.0344630468797,0.926694329184,0.933701657459,0.92,15004.203969
1490,0.0322603740237,0.0324965552909,0.0351792968277,0.924619640387,0.933701657459,0.92,15106.619826
1500,0.0320334656871,0.0322057918253,0.0342318722856,0.926694329184,0.933701657459,0.926451612903,15206.4047707
1510,0.0320255728947,0.0323223616827,0.0343568670516,0.927385892116,0.933701657459,0.922580645161,15303.3045838
1520,0.0320328818539,0.0323067928217,0.034227057558,0.927385892116,0.933701657459,0.922580645161,15400.2918794
1530,0.03219257118,0.0325820073629,0.0343620862074,0.926694329184,0.930939226519,0.921290322581,15498.5686034
1540,0.0320282592662,0.0330038232568,0.0346846186127,0.92531120332,0.92817679558,0.92,15599.5176245
1550,0.032066110032,0.0321632081068,0.0341743144282,0.926694329184,0.933701657459,0.922580645161,15699.2184196
1560,0.0320274547502,0.0323968015568,0.0342668312148,0.926002766252,0.933701657459,0.923870967742,15798.723735
1570,0.0321723945169,0.0320978903645,0.034184922571,0.926694329184,0.933701657459,0.923870967742,15895.8636258
1580,0.0320438221209,0.0322221271182,0.034149777373,0.927385892116,0.933701657459,0.922580645161,15993.3728684
1590,0.0320876812837,0.0323119004972,0.0341384683349,0.926694329184,0.933701657459,0.923870967742,16092.8982758
1600,0.0322482414161,0.0323440685635,0.0344653663355,0.927385892116,0.933701657459,0.925161290323,16191.5751158
1610,0.0321976531504,0.032057916564,0.0342866447791,0.927385892116,0.933701657459,0.925161290323,16288.8116825
1620,0.0323071648881,0.0323110484241,0.0343207039036,0.927385892116,0.933701657459,0.926451612903,16385.1102987
1630,0.0320645696299,0.0320118255715,0.0339881037328,0.926694329184,0.933701657459,0.922580645161,16480.9180601
1640,0.0321511252157,0.0322670603622,0.0342257377758,0.926694329184,0.933701657459,0.922580645161,16578.2436404
1650,0.0318892510913,0.0322174411965,0.0342777666922,0.927385892116,0.933701657459,0.925161290323,16673.7635492
1660,0.032346926468,0.0321761181873,0.0340171842349,0.926694329184,0.933701657459,0.925161290323,16769.0151332
1670,0.0319753349287,0.0322122866398,0.0342113622265,0.926694329184,0.933701657459,0.925161290323,16867.4256469
1680,0.0321756787391,0.0323028055441,0.0340335230744,0.928077455048,0.933701657459,0.925161290323,16963.1866954
1690,0.0322183901403,0.0320911370352,0.0340711338929,0.926694329184,0.933701657459,0.926451612903,17059.7283908
1700,0.0321366542348,0.0321647355959,0.0342929077149,0.926694329184,0.933701657459,0.926451612903,17156.0969095
1710,0.0322768018148,0.0326233020661,0.0340597995327,0.927385892116,0.930939226519,0.923870967742,17254.8565695
1720,0.0321000164574,0.0321905308891,0.0343114393005,0.926002766252,0.933701657459,0.925161290323,17357.1227166
1730,0.032104752842,0.0325465637102,0.0345035346442,0.927385892116,0.933701657459,0.925161290323,17458.918352
1740,0.0321609001709,0.0321283600999,0.0346391442107,0.927385892116,0.930939226519,0.921290322581,17561.2647573
1750,0.0320738863258,0.0321382378368,0.0342748428832,0.927385892116,0.933701657459,0.925161290323,17663.7678852
1760,0.0320097242183,0.0319194026791,0.0343722056111,0.927385892116,0.930939226519,0.921290322581,17763.3217186
1770,0.0320677616836,0.0322091358914,0.0345992009261,0.926002766252,0.930939226519,0.921290322581,17867.2047376
1780,0.0320523190717,0.0326872096138,0.0347881293763,0.92531120332,0.925414364641,0.921290322581,17968.6708968
1790,0.0320022552439,0.0321560343536,0.0345507173557,0.927385892116,0.933701657459,0.922580645161,18068.2261463
1800,0.0320508858851,0.0326129960732,0.034761506011,0.926002766252,0.92817679558,0.918709677419,18169.3588988
1810,0.0322490907975,0.0323643336256,0.0347633407261,0.926002766252,0.930939226519,0.922580645161,18270.7620363
1820,0.0321877349319,0.0325598758319,0.0348469354855,0.926694329184,0.92817679558,0.921290322581,18373.6051816
1830,0.0322799461103,0.033127446323,0.0347249288801,0.926002766252,0.92817679558,0.921290322581,18470.1972171
1840,0.0322692088471,0.0327051836258,0.0347542445521,0.926002766252,0.930939226519,0.925161290323,18571.5281912
1850,0.032004233154,0.0321867083245,0.0344280561978,0.927385892116,0.930939226519,0.923870967742,18671.7710078
1860,0.0321989469744,0.0322542744042,0.0346895405583,0.926002766252,0.930939226519,0.921290322581,18772.3395096
1870,0.0321206304873,0.032262314734,0.034737490905,0.926002766252,0.92817679558,0.92,18872.781646
1880,0.0321443836017,0.0327139616978,0.0347898324465,0.92531120332,0.925414364641,0.921290322581,18976.1276816
1890,0.0322504674689,0.0329035532109,0.0347570163052,0.926002766252,0.930939226519,0.92,19080.1218129
1900,0.0322437296306,0.0325929988291,0.0347216655156,0.92531120332,0.930939226519,0.92,19181.8639524
1910,0.0322789175657,0.0324370408264,0.0345065329837,0.926694329184,0.930939226519,0.921290322581,19283.2220304
1920,0.0321575805302,0.0325264804337,0.0347451411372,0.926694329184,0.930939226519,0.921290322581,19383.7304302
1930,0.03214875845,0.0321801315358,0.0347023840154,0.926694329184,0.92817679558,0.92,19483.6496525
1940,0.0322783423216,0.0326437200506,0.0347804228488,0.926694329184,0.92817679558,0.921290322581,19586.6116553
1950,0.0321253471002,0.0330862970505,0.0349007482276,0.926002766252,0.925414364641,0.918709677419,19689.8946238
1960,0.032221211409,0.033057975044,0.0347567090179,0.926002766252,0.925414364641,0.918709677419,19791.0836635
1970,0.0321304175425,0.0329864335482,0.0347256253097,0.926694329184,0.925414364641,0.918709677419,19888.0932305
1980,0.0320816163167,0.0330233981571,0.0346529976621,0.928769017981,0.922651933702,0.918709677419,19988.2812572
1990,0.0322141774349,0.0331177869111,0.0346492779015,0.926694329184,0.92817679558,0.92,20091.0204226
2000,0.0322102105701,0.0331502391623,0.0347158960604,0.926694329184,0.925414364641,0.918709677419,20190.9667746
2010,0.0322103997949,0.0328248228197,0.034471377702,0.926694329184,0.930939226519,0.921290322581,20290.3207873
2020,0.0321366631081,0.0323938491731,0.0345479350839,0.926694329184,0.92817679558,0.92,20390.8974211
2030,0.0322686082849,0.0328925043798,0.0347083870519,0.926002766252,0.925414364641,0.921290322581,20492.0631495
2040,0.0321462087525,0.0326847359035,0.0345538661714,0.927385892116,0.925414364641,0.921290322581,20594.4451537
2050,0.0322726723394,0.0329512862527,0.0345889782484,0.927385892116,0.92817679558,0.921290322581,20699.4613245
2060,0.0321658229024,0.0328743960084,0.034583921206,0.926694329184,0.92817679558,0.921290322581,20797.4915381
2070,0.0321965636526,0.0329344983615,0.034519646681,0.926694329184,0.92817679558,0.921290322581,20894.4409335
2080,0.0322192511416,0.0329299568729,0.0345316857721,0.926694329184,0.925414364641,0.92,20994.570831
2090,0.0322787241746,0.0330873601612,0.0345414394049,0.927385892116,0.925414364641,0.921290322581,21099.7232446
2100,0.0321999805595,0.0329061105589,0.0346967159387,0.926002766252,0.925414364641,0.92,21203.1602179
2110,0.0322128470416,0.0327448800236,0.0343986447763,0.926694329184,0.92817679558,0.921290322581,21306.8783425
2120,0.0322041842192,0.0330529588879,0.0344829683506,0.926694329184,0.922651933702,0.921290322581,21407.7876492
2130,0.0321367898479,0.0329757924384,0.0341984785066,0.928769017981,0.925414364641,0.922580645161,21506.3449762
2140,0.0321300026479,0.0329476849003,0.0343952812922,0.927385892116,0.925414364641,0.922580645161,21602.2340588
2150,0.0323196314431,0.032937176364,0.0344208770638,0.926694329184,0.922651933702,0.921290322581,21699.7889158
2160,0.0322009912171,0.032812265847,0.0343456679513,0.926694329184,0.922651933702,0.921290322581,21796.6053121
2170,0.0321038848767,0.0328562314385,0.0345191870838,0.926694329184,0.922651933702,0.92,21893.2091609
2180,0.0322334942027,0.0328584079657,0.0345822289083,0.926694329184,0.92817679558,0.92,21990.9557849
2190,0.0321801113156,0.0328009326517,0.0342405203045,0.927385892116,0.92817679558,0.922580645161,22089.2783134
2200,0.0322438162721,0.0327672243927,0.0344474138766,0.926002766252,0.92817679558,0.922580645161,22187.4337048
2210,0.0322206037265,0.0328281733161,0.0342549183074,0.927385892116,0.92817679558,0.922580645161,22286.5340398
2220,0.032436085634,0.0328123281653,0.0344049788698,0.926002766252,0.92817679558,0.921290322581,22387.8666935
2230,0.0322055764529,0.032568922997,0.0339936549525,0.929460580913,0.925414364641,0.923870967742,22489.0425549
2240,0.0321231999121,0.0325848703039,0.0341139213912,0.929460580913,0.92817679558,0.922580645161,22590.7528666
2250,0.0321090898206,0.0327007622396,0.0339949813279,0.928769017981,0.92817679558,0.922580645161,22690.9202361
2260,0.032183339699,0.03273136104,0.0342915490531,0.927385892116,0.92817679558,0.922580645161,22793.9996568
2270,0.0321723303497,0.0326306653057,0.034200985368,0.929460580913,0.92817679558,0.922580645161,22895.5324645
